,date,station_id,station_name,station_lat,station_long,ride_counts,trip_minutes
0,2019-01-01,72,W 52 St & 11 Ave,40.76727216,-73.99392888,1697,1327946
1,2019-01-01,79,Franklin St & W Broadway,40.71911552,-74.00666661,1271,1172732
2,2019-01-01,82,St James Pl & Pearl St,40.71117416,-74.00016545,627,393905
3,2019-01-01,83,Atlantic Ave & Fort Greene Pl,40.68382604,-73.97632328,390,374474
4,2019-01-01,119,Park Ave & St Edwards St,40.69608941,-73.97803415,232,123636
5,2019-01-01,120,Lexington Ave & Classon Ave,40.68676793,-73.95928168,575,397496
6,2019-01-01,127,Barrow St & Hudson St,40.73172428,-74.00674436,3067,2078755
7,2019-01-01,128,MacDougal St & Prince St,40.72710258,-74.00297088,2824,1948715
8,2019-01-01,143,Clinton St & Joralemon St,40.69239502,-73.99337909,1436,933436
9,2019-01-01,144,Nassau St & Navy St,40.69839895,-73.98068914,454,354202
10,2019-01-01,146,Hudson St & Reade St,40.71625008,-74.0091059,1701,1291530
11,2019-01-01,150,E 2 St & Avenue C,40.7208736,-73.98085795,1489,1046965
12,2019-01-01,151,Cleveland Pl & Spring St,40.722103786686034,-73.99724900722504,3735,2830567
13,2019-01-01,157,Henry St & Atlantic Ave,40.69089272,-73.99612349,1178,701131
14,2019-01-01,161,LaGuardia Pl & W 3 St,40.72917025,-73.99810231,2246,1578082
15,2019-01-01,164,E 47 St & 2 Ave,40.75323098,-73.97032517,1905,1373367
16,2019-01-01,167,E 39 St & 3 Ave,40.7489006,-73.97604882,2849,1917190
17,2019-01-01,168,W 18 St & 6 Ave,40.73971301,-73.99456405,3846,2696301
18,2019-01-01,173,Broadway & W 49 St,40.76068327096592,-73.9845272898674,3733,2265077
19,2019-01-01,174,E 25 St & 1 Ave,40.7381765,-73.97738662,2400,1888916
20,2019-01-01,195,Liberty St & Broadway,40.70905623,-74.01043382,2559,1748880
21,2019-01-01,212,W 16 St & The High Line,40.74334935,-74.00681753,2280,1562581
